CollGPA	SAT
2.04	1070
2.56	1254
3.75	1466
1.1	706
3	1160
0.05	756
1.38	1058
1.5	1008
1.38	1104
4.01	1200
1.5	896
1.29	848
1.9	958
3.11	1246
1.92	1106
0.81	790
1.01	954
3.66	1500
2	1046
2.05	1054
2.6	1198
2.55	940
0.38	456
2.48	1150
2.74	636
1.77	744
1.61	644
0.99	842
1.62	852
2.03	1170
3.5	1034
3.18	1202
2.39	1018
1.48	1180
1.54	952
1.57	1038
2.46	1090
2.42	694
2.11	1096
2.04	1114
1.68	1256
1.64	1208
2.41	820
2.1	1222
1.4	1120
2.03	886
1.99	1126
2.24	1158
0.45	676
2.31	1214
2.41	1136
2.56	1264
2.5	1116
2.92	1292
2.35	604
2.82	854
1.8	814
1.29	778
1.68	800
3.44	1424
1.9	950
2.06	1056
3.3	956
1.8	1352
2	852
1.68	1168
1.94	970
0.97	776
1.12	854
1.31	1232
1.68	1140
3.09	1084
1.87	954
2	1000
2.39	1084
1.5	1058
1.82	816
1.8	1146
2.01	1000
1.88	856
1.64	798
2.42	1324
0.22	704
2.31	1222
0.95	948
1.99	1182
1.86	1000
1.79	910
3.02	1374
1.85	1014
1.98	1420
2.15	400
1.46	998
2.29	776
2.39	1134
1.8	772
2.64	1304
2.08	1212
0.7	818
0.89	864
